Y,X,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl
53.991002746001783,11.950777799580816,5a686a2e-d3c6-11e5-96a2-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.971326979483145,11.935082760484054,9c3241fa-d3c6-11e5-96a3-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.973430831158069,11.946058293951781,9c4b0faa-d3c6-11e5-96a4-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.900951649347654,12.142858264730457,91f346e6-f580-11e4-a792-0050569b7e95,Landkreis Rostock,13072,Amt Schwaan,130725261,Rukieten,130725261090,Rukieten,,,,,,
53.969979927605564,11.9441866083558,9c629698-d3c6-11e5-96a5-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.966140144100763,11.943082506105707,9c714d46-d3c6-11e5-96a6-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.973863657701166,11.939843094890206,b8676cdc-d3c7-11e5-96a7-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Hohen Luckow,,,,,,
53.867895508061743,12.209677170580632,246779f2-d3ca-11e5-96a8-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Sarmstorf,130725255092,Bredentin,,,,,,
53.863876876647119,12.20522058746411,247ee1be-d3ca-11e5-96a9-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Sarmstorf,130725255092,Bredentin,,,,,,
53.862028755605309,12.20932682656654,2495bc72-d3ca-11e5-96aa-0050569b7e95,Landkreis Rostock,13072,Amt Güstrow-Land,130725255,Sarmstorf,130725255092,Bredentin,,,,,,
53.958069869021784,11.841913986971871,91f2dea4-f580-11e4-a788-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Radegast,,,,,,
53.956444654860164,11.869867337801747,91f2ea2a-f580-11e4-a789-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Radegast,,,,,,
53.954199411886044,11.867571001034078,91f2f696-f580-11e4-a78a-0050569b7e95,Landkreis Rostock,13072,Satow,130720219,Satow,130720219093,Radegast,,,,,,
53.765443021846927,12.018881164745606,91f3df2a-f580-11e4-a79e-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Tarnow,,,,,,
53.764900675667079,12.013945555669698,91f3ecc2-f580-11e4-a79f-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Tarnow,,,,,,
53.767479433105038,12.015434940698594,91f3f6c2-f580-11e4-a7a0-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Tarnow,,,,,,
53.769353650459529,12.022969470199362,91f40126-f580-11e4-a7a1-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Tarnow,,,,,,
53.769219430997794,12.018930468866751,91f40b44-f580-11e4-a7a2-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Tarnow,,,,,,
53.762931693976135,12.020439447930036,91f41526-f580-11e4-a7a3-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Tarnow,,,,,,
53.764130945066746,12.024462435824958,91f41f3a-f580-11e4-a7a4-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Tarnow,,,,,,
53.766626482495425,12.022880691490446,91f42930-f580-11e4-a7a5-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Tarnow,,,,,,
53.770131262326977,12.014624823384306,91f43330-f580-11e4-a7a6-0050569b7e95,Landkreis Rostock,13072,Amt Bützow-Land,130725252,Tarnow,130725252104,Tarnow,,,,,,
