GENESIS-Tabelle: Temporär
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;;;;
Monatsbericht über die Elektrizitätsversorgung;;;;;;
Deutschland;;;;;;
;;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto);Nettowärmeerzeugung;Brennstoffeinsatz
;;;MWh;MWh;MWh;GJ
2014;Juni;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;Juni;Sonstige Steinkohlen;-;-;-;-
2014;Juni;Rohbraunkohlen;11837524;11017745;538544;110458286
2014;Juni;Hartbraunkohlen;-;-;-;-
2014;Juni;Braunkohlenbriketts;.;.;.;.
2014;Juni;Braunkohlenkoks;.;.;.;.
2014;Juni;Wirbelschichtkohle;.;.;.;.
2014;Juni;Staub- und Trockenkohle;7757;6755;18541;132552
2014;Juni;Sonstige Braunkohlen;-;-;-;-
2014;Juni;Dieselkraftstoff;.;.;-;.
2014;Juni;Heizöl, leicht;38947;35438;17558;503446
2014;Juni;Heizöl, schwer;34797;31854;7976;387059
2014;Juni;Flüssiggas;.;.;.;.
2014;Juni;Raffineriegas;-;-;-;-
2014;Juni;Petrolkoks;.;.;-;.
2014;Juni;Sonstige Mineralölprodukte;.;.;.;.
2014;Juni;Erdgas, Erdölgas;1758834;1683594;2063696;18825044
2014;Juni;Grubengas;.;.;.;.
2014;Juni;Kokereigas;.;.;.;.
2014;Juni;Hochofengas;.;.;.;.
2014;Juni;Sonstige hergestellte Gase;-;-;-;-
2014;Juni;Laufwasser;1158449;1140072;-;-
2014;Juni;Speicherwasser;40121;39842;-;-
2014;Juni;Pumpspeicherwasser;-;-;-;-
2014;Juni;Pumpspeicher mit natürlichem Zufluss;.;.;-;-
2014;Juni;Pumpspeicher ohne natürlichen Zufluss;382101;373007;-;-
2014;Juni;Windkraft;-;-;-;-
2014;Juni;Photovoltaik;-;-;-;-
2014;Juni;Geothermie;5400;.;.;-
2014;Juni;Solarthermie;-;-;-;-
2014;Juni;Feste biogene Stoffe;378972;341061;276941;5827387
2014;Juni;Flüssige biogene Stoffe;.;.;.;.
2014;Juni;Biogas;75953;73705;68341;772174
2014;Juni;Klärgas;2713;2642;2604;38791
2014;Juni;Deponiegas;5807;5589;1829;61872
2014;Juni;Sonstige erneuerbare Energien;.;.;-;.
2014;Juni;Klärschlamm;8497;7797;922;80169
2014;Juni;Abfall (Hausmüll, Industrie);-;-;-;-
2014;Juni;Abfall (Industrie);92920;73627;104026;1654807
2014;Juni;Abfall (Hausmüll, Siedlungsabfälle);978268;777885;906117;16686489
2014;Juni;Kernenergie;7073021;6643967;-;-
2014;Juni;Wärme;33731;32420;90224;604768
2014;Juni;Sonstige Energieträger;.;.;.;.
2014;Juni;Insgesamt;32308305;29990833;5313086;236065346
2014;Juli;Steinkohlen;9401495;8619661;999338;87899338
2014;Juli;Steinkohlenkoks;-;-;-;-
2014;Juli;Steinkohlenbriketts;-;-;-;-
2014;Juli;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;Juli;Sonstige Steinkohlen;-;-;-;-
2014;Juli;Rohbraunkohlen;11832509;10982339;319071;110862209
2014;Juli;Hartbraunkohlen;-;-;-;-
2014;Juli;Braunkohlenbriketts;.;.;.;.
2014;Juli;Braunkohlenkoks;.;.;.;.
2014;Juli;Wirbelschichtkohle;.;.;.;.
2014;Juli;Staub- und Trockenkohle;13182;11362;22183;214823
2014;Juli;Sonstige Braunkohlen;-;-;-;-
2014;Juli;Dieselkraftstoff;56;55;-;549
2014;Juli;Heizöl, leicht;36371;33430;12549;537349
2014;Juli;Heizöl, schwer;30278;27379;.;332699
2014;Juli;Flüssiggas;.;.;.;.
2014;Juli;Raffineriegas;-;-;-;-
2014;Juli;Petrolkoks;.;.;-;.
2014;Juli;Sonstige Mineralölprodukte;.;.;.;.
2014;Juli;Erdgas, Erdölgas;1983593;1908476;1974357;19696515
2014;Juli;Grubengas;.;.;.;.
2014;Juli;Kokereigas;.;.;.;.
2014;Juli;Hochofengas;.;.;.;.
2014;Juli;Sonstige hergestellte Gase;-;-;-;-
2014;Juli;Laufwasser;1531931;1508829;-;-
2014;Juli;Speicherwasser;63249;62589;-;-
2014;Juli;Pumpspeicherwasser;-;-;-;-
2014;Juli;Pumpspeicher mit natürlichem Zufluss;.;.;-;-
2014;Juli;Pumpspeicher ohne natürlichen Zufluss;379122;370400;-;-
2014;Juli;Windkraft;-;-;-;-
2014;Juli;Photovoltaik;-;-;-;-
2014;Juli;Geothermie;7033;4340;.;-
2014;Juli;Solarthermie;-;-;-;-
2014;Juli;Feste biogene Stoffe;396737;356126;275839;6078432
2014;Juli;Flüssige biogene Stoffe;.;.;.;.
2014;Juli;Biogas;78970;76402;73218;791401
2014;Juli;Klärgas;2742;2671;2792;39285
2014;Juli;Deponiegas;6886;6572;3073;76546
2014;Juli;Sonstige erneuerbare Energien;.;.;-;189822
2014;Juli;Klärschlamm;12979;11840;1194;125253
2014;Juli;Abfall (Hausmüll, Industrie);-;-;-;-
2014;Juli;Abfall (Industrie);108599;86053;106531;1967458
2014;Juli;Abfall (Hausmüll, Siedlungsabfälle);1018181;813979;898732;17393800
2014;Juli;Kernenergie;6545746;6189394;-;-
2014;Juli;Wärme;59334;56407;90732;921172
2014;Juli;Sonstige Energieträger;.;.;.;.
2014;Juli;Insgesamt;33843855;31435508;4839615;250033438
2014;August;Steinkohlen;6781497;6214261;1228002;64261428
2014;August;Steinkohlenkoks;-;-;-;-
2014;August;Steinkohlenbriketts;-;-;-;-
2014;August;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;August;Sonstige Steinkohlen;-;-;-;-
2014;August;Rohbraunkohlen;11110617;10290853;377780;104858810
2014;August;Hartbraunkohlen;-;-;-;-
2014;August;Braunkohlenbriketts;10062;9101;.;100536
2014;August;Braunkohlenkoks;.;.;.;.
2014;August;Wirbelschichtkohle;.;.;.;.
2014;August;Staub- und Trockenkohle;17691;15518;17108;248276
2014;August;Sonstige Braunkohlen;-;-;-;-
2014;August;Dieselkraftstoff;11;11;-;111
2014;August;Heizöl, leicht;57148;52081;7373;696583
2014;August;Heizöl, schwer;24779;22490;.;268887
2014;August;Flüssiggas;.;.;.;.
2014;August;Raffineriegas;-;-;-;-
2014;August;Petrolkoks;-;-;-;-
2014;August;Sonstige Mineralölprodukte;.;.;.;.
2014;August;Erdgas, Erdölgas;1747589;1681253;1900870;18158841
2014;August;Grubengas;.;.;.;.
2014;August;Kokereigas;.;.;.;.
2014;August;Hochofengas;.;.;.;.
2014;August;Sonstige hergestellte Gase;-;-;-;-
2014;August;Laufwasser;1623395;1598821;-;-
2014;August;Speicherwasser;65385;64652;-;-
2014;August;Pumpspeicherwasser;-;-;-;-
2014;August;Pumpspeicher mit natürlichem Zufluss;30741;29698;-;-
2014;August;Pumpspeicher ohne natürlichen Zufluss;461438;451189;-;-
2014;August;Windkraft;-;-;-;-
2014;August;Photovoltaik;-;-;-;-
2014;August;Geothermie;9128;5673;.;-
2014;August;Solarthermie;-;-;-;-
2014;August;Feste biogene Stoffe;413546;371800;284634;6195566
2014;August;Flüssige biogene Stoffe;.;.;.;.
2014;August;Biogas;85579;83235;80793;848291
2014;August;Klärgas;2572;2510;2477;34932
2014;August;Deponiegas;6506;6264;2924;70460
2014;August;Sonstige erneuerbare Energien;.;.;-;198227
2014;August;Klärschlamm;11830;10825;784;113081
2014;August;Abfall (Hausmüll, Industrie);-;-;-;-
2014;August;Abfall (Industrie);104739;82940;114300;1908560
2014;August;Abfall (Hausmüll, Siedlungsabfälle);1043065;835758;968745;18093692
2014;August;Kernenergie;7778067;7343309;-;-
2014;August;Wärme;51380;47480;121941;1054017
2014;August;Sonstige Energieträger;.;.;.;.
2014;August;Insgesamt;31691948;29450756;5149631;219479340
2014;September;Steinkohlen;10704778;9818138;1383204;100536670
2014;September;Steinkohlenkoks;-;-;-;-
2014;September;Steinkohlenbriketts;-;-;-;-
2014;September;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;September;Sonstige Steinkohlen;-;-;-;-
2014;September;Rohbraunkohlen;12846764;11958724;557679;119258568
2014;September;Hartbraunkohlen;-;-;-;-
2014;September;Braunkohlenbriketts;10063;9059;.;109996
2014;September;Braunkohlenkoks;.;.;.;.
2014;September;Wirbelschichtkohle;-;-;-;-
2014;September;Staub- und Trockenkohle;18207;16290;23392;235313
2014;September;Sonstige Braunkohlen;-;-;-;-
2014;September;Dieselkraftstoff;.;.;-;.
2014;September;Heizöl, leicht;35259;32601;15223;537639
2014;September;Heizöl, schwer;33612;30927;.;365266
2014;September;Flüssiggas;.;.;.;.
2014;September;Raffineriegas;-;-;-;-
2014;September;Petrolkoks;-;-;-;-
2014;September;Sonstige Mineralölprodukte;.;.;.;.
2014;September;Erdgas, Erdölgas;2082960;2005230;1957509;20374626
2014;September;Grubengas;.;.;.;.
2014;September;Kokereigas;.;.;.;.
2014;September;Hochofengas;.;.;.;.
2014;September;Sonstige hergestellte Gase;-;-;-;-
2014;September;Laufwasser;1367753;1350547;-;-
2014;September;Speicherwasser;56259;55611;-;-
2014;September;Pumpspeicherwasser;-;-;-;-
2014;September;Pumpspeicher mit natürlichem Zufluss;28821;26954;-;-
2014;September;Pumpspeicher ohne natürlichen Zufluss;521194;510537;-;-
2014;September;Windkraft;-;-;-;-
2014;September;Photovoltaik;-;-;-;-
2014;September;Geothermie;3703;2106;.;-
2014;September;Solarthermie;-;-;-;-
2014;September;Feste biogene Stoffe;376833;339037;307939;5852207
2014;September;Flüssige biogene Stoffe;.;.;.;.
2014;September;Biogas;89658;87261;86654;892052
2014;September;Klärgas;2732;2656;2700;36595
2014;September;Deponiegas;6081;5729;2679;65863
2014;September;Sonstige erneuerbare Energien;.;.;-;113768
2014;September;Klärschlamm;13023;11918;919;124359
2014;September;Abfall (Hausmüll, Industrie);-;-;-;-
2014;September;Abfall (Industrie);99516;78448;117656;1850930
2014;September;Abfall (Hausmüll, Siedlungsabfälle);957045;761452;961716;16631306
2014;September;Kernenergie;7906299;7492181;-;-
2014;September;Wärme;51394;48759;143444;1042312
2014;September;Sonstige Energieträger;.;.;.;.
2014;September;Insgesamt;37466137;34878011;5607924;270427139
2014;Oktober;Steinkohlen;11147052;10206392;2128671;104156407
2014;Oktober;Steinkohlenkoks;-;-;-;-
2014;Oktober;Steinkohlenbriketts;-;-;-;-
2014;Oktober;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2014;Oktober;Sonstige Steinkohlen;-;-;-;-
2014;Oktober;Rohbraunkohlen;14290433;13304031;754227;133477503
2014;Oktober;Hartbraunkohlen;-;-;-;-
2014;Oktober;Braunkohlenbriketts;7139;6431;.;81377
2014;Oktober;Braunkohlenkoks;.;.;.;.
2014;Oktober;Wirbelschichtkohle;.;.;.;.
2014;Oktober;Staub- und Trockenkohle;21975;19867;39862;325011
2014;Oktober;Sonstige Braunkohlen;-;-;-;-
2014;Oktober;Dieselkraftstoff;.;.;-;.
2014;Oktober;Heizöl, leicht;43191;39740;17907;605297
2014;Oktober;Heizöl, schwer;40668;37309;.;441307
2014;Oktober;Flüssiggas;.;.;.;.
2014;Oktober;Raffineriegas;-;-;-;-
2014;Oktober;Petrolkoks;.;.;.;.
2014;Oktober;Sonstige Mineralölprodukte;.;.;3757;.
